"rank","tw_username","followers_count","likes","location","location_1","location_2","location_3","location_4","location_5","location_6","continent","country","state","city","followers_count_created_at","location_created_at","ranking_date"
8670,jpasfit,2706,,Planeta Tierra 🌎,Planeta Tierra 🌎,,Planeta Tierra 🌎,,Planeta Tierra 🌎,,,,,,2022-05-28 02:00:00.000,2022-05-22 02:00:00,2022-05-28 02:00:00.000
8671,jack2004488,2705,,,,,,,,,,,,,2022-05-27 02:00:00.000,2022-05-26 02:00:00,2022-05-28 02:00:00.000
8672,alix_martin19,2705,,"Medellín, Colombia",Medellín,Colombia,"Medellín, Colombia",,"Medellín, Colombia",,,,,,2022-05-27 02:00:00.000,2022-05-26 02:00:00,2022-05-28 02:00:00.000
8673,midwesternntx,2704,443,DFW,DFW,,DFW,,DFW,,,,,,2022-05-28 02:00:00.000,2022-05-28 02:00:00,2022-05-28 02:00:00.000
8674,jamieturnerxxx,2703,9,"Clapham, England",Clapham,England,"Clapham, England",,"Clapham, England",,,,,,2022-05-28 02:00:00.000,2022-05-28 02:00:00,2022-05-28 02:00:00.000
8675,goodlad84,2703,52,Athens,Athens,,Athens,,Athens,,,,GA,ATHENS,2022-05-28 02:00:00.000,2022-05-25 02:00:00,2022-05-28 02:00:00.000
8676,dongdongtongxue,2702,,上海,上海,,上海,,上海,,,,,,2022-05-27 02:00:00.000,2022-05-24 02:00:00,2022-05-28 02:00:00.000
8677,curiousbluesxxx,2701,,"Denver, CO",Denver,CO,"Denver, CO",,"Denver, CO",,,,CO,DENVER,2022-05-27 02:00:00.000,2022-05-26 02:00:00,2022-05-28 02:00:00.000
8678,adrauter,2701,,,,,,,,,,,,,2022-05-27 02:00:00.000,2022-05-22 02:00:00,2022-05-28 02:00:00.000
8679,figotwink,2700,53500,Roma 🏛,Roma 🏛,,Roma 🏛,,Roma 🏛,,,,,,2022-05-28 02:00:00.000,2022-05-21 02:00:00,2022-05-28 02:00:00.000
8680,brd_mn,2697,2200,"Comunidad de Madrid, España",Comunidad de Madrid,España,"Comunidad de Madrid, España",,"Comunidad de Madrid, España",,,,,,2022-04-24 02:00:00.000,2022-04-14 02:00:00,2022-05-28 02:00:00.000
8681,carmonaoficial2,2695,,,,,,,,,,,,,2022-05-28 02:00:00.000,2022-05-25 02:00:00,2022-05-28 02:00:00.000
8682,tonivlc60,2694,,,,,,,,,,,,,2022-05-28 02:00:00.000,2022-05-26 02:00:00,2022-05-28 02:00:00.000
8683,boy_tonyx,2691,,"Texas, USA",Texas,USA,"Texas, USA",,"Texas, USA",,,,TX,,2022-05-27 02:00:00.000,2022-05-27 02:00:00,2022-05-28 02:00:00.000
8684,centuryclubslut,2689,,London,London,,London,,London,,,,,,2022-05-27 02:00:00.000,2022-05-16 02:00:00,2022-05-28 02:00:00.000
