"rank_","?column?","followers","rank","tw_username","followers_count","likes","location","location_1","location_2","location_3","location_4","location_5","location_6","continent","country","state","city","followers_count_created_at","location_created_at","ranking_date"
131,@jakelawrencexxx,47K,3010,jakelawrencexxx,46854,2500,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-30 02:00:00.000,2022-06-03 02:00:00.000
132,@flmusclemaster,47K,3016,flmusclemaster,46646,,"Tampa, FL",Tampa,FL,"Tampa, FL",,"Tampa, FL",,,,FL,TAMPA,2022-06-02 02:00:00.000,2022-05-19 02:00:00.000,2022-06-03 02:00:00.000
133,@thatnudesdude,46K,3063,thatnudesdude,45634,6600,Midwest,Midwest,,Midwest,,Midwest,,,,FL,,2022-06-03 02:00:00.000,2022-05-30 02:00:00.000,2022-06-03 02:00:00.000
134,@tigerpouncer,44K,3146,tigerpouncer,44230,,Fort Lauderdale,Fort Lauderdale,,Fort Lauderdale,,Fort Lauderdale,,,,FL,FORT LAUDERDALE,2022-06-03 02:00:00.000,2022-05-23 02:00:00.000,2022-06-03 02:00:00.000
135,@primal1_,44K,3165,primal1_,43854,,"University Park, FL",University Park,FL,"University Park, FL",,"University Park, FL",,,,FL,,2022-05-26 02:00:00.000,2022-05-23 02:00:00.000,2022-06-03 02:00:00.000
136,@xderrickporterx,42K,3275,xderrickporterx,41821,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-03 02:00:00.000,2022-05-27 02:00:00.000,2022-06-03 02:00:00.000
137,@xxxgalm,41K,3309,xxxgalm,41149,1100,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-06-02 02:00:00.000,2022-06-03 02:00:00.000
138,@bator78,40K,3368,bator78,40364,,"Midwest, USA",Midwest,USA,"Midwest, USA",,"Midwest, USA",,,,FL,,2022-06-03 02:00:00.000,2022-05-28 02:00:00.000,2022-06-03 02:00:00.000
139,@fitwolf81,40K,3380,fitwolf81,40144,8800,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
140,@andrew4tu,40K,3390,andrew4tu,39987,,"Tampa, FL",Tampa,FL,"Tampa, FL",,"Tampa, FL",,,,FL,TAMPA,2022-06-02 02:00:00.000,2022-05-28 02:00:00.000,2022-06-03 02:00:00.000
141,@thetipsytwink,39K,3436,thetipsytwink,39198,7500,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-03 02:00:00.000,2022-06-03 02:00:00.000,2022-06-03 02:00:00.000
